id,employer_industry_id,employer_logo_url,name
161291,K-12 Education,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/161291/original/hs-emp-logo-data.?1522370683,Green Bay Area Public School District
155703,Human Resources,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/155703/original/hs-emp-logo-data.?1564598384,Innovative Information Technologies
410649,Higher Education,https://handshake-production-cdn.joinhandshake.com/static_assets/default_institution_1.png,Briar Cliff University
311850,"Government - Local, State & Federal",https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/311850/original/hs-emp-logo-data.?1531776725,State of Arizona Department of Juvenile Corrections
436026,Veterinary,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/436026/original/hs-emp-logo-data.?1558534902,Athens Veterinary Services
21165,Manufacturing,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/21165/original/hs-emp-logo-data.?1600435414,Genesis Alkali
58351,Staffing & Recruiting,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/58351/original/hs-emp-logo-data.?1575573172,Staffmark
104818,K-12 Education,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/104818/original/hs-emp-logo-data.?1475764949,Global Education Ministries
36000,Retail Stores,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/36000/original/hs-emp-logo-data.?1496150206,Vitamin Shoppe
25148,Healthcare,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/25148/original/hs-emp-logo-data.?1580401146,Senior Lifestyle Corporation
664499,Other Industries,https://handshake-production-cdn.joinhandshake.com/static_assets/default_institution_1.png,"Optics Planet, Inc."
58687,Biotech & Life Sciences,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/58687/original/hs-emp-logo-data.?1505160661,DSM
569435,"Government - Local, State & Federal",https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/569435/original/hs-emp-logo-data.?1600302796,Connecticut Army National Guard
277481,"Government - Local, State & Federal",https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/277481/original/hs-emp-logo-data.?1580828518,"City of New Albany, Ohio"
20537,Food & Beverage,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/20537/original/hs-emp-logo-LAG_logo.jpg?1438190477,"Lactalis American Group, Inc."
56106,"Government - Local, State & Federal",https://handshake-production-cdn.joinhandshake.com/static_assets/default_institution_1.png,City of Lakewood
153950,Civil Engineering,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/153950/original/hs-emp-logo-data.?1607127312,Nucor Building Systems
13258,Manufacturing,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/13258/original/hs-emp-logo-data.?1430939674,Deublin Company
662354,K-12 Education,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/662354/original/hs-emp-logo-data.?1625669888,Summit Hill School District 161
268345,Transportation & Logistics,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/268345/original/hs-emp-logo-data.?1632758077,"Marken, a UPS company"
524565,Non-Profit - Other,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/524565/original/hs-emp-logo-data.?1582061120,Action Resources International AmeriCorps VISTA Intermediary Program
101898,Non-Profit - Other,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/101898/original/hs-emp-logo-data.?1611927334,The Centers
283498,Veterinary,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/283498/original/hs-emp-logo-data.?1603231110,Banfield Pet Hospital
76716,Insurance,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/76716/original/hs-emp-logo-data.?1465484304,Apogee Insurance Group
88759,Aerospace,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/88759/original/hs-emp-logo-data.?1505581613,"Aerial Optic, LLC"
334194,Other Education,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/334194/original/hs-emp-logo-data.?1535146385,Woodward Academy
618783,K-12 Education,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/618783/original/hs-emp-logo-data.?1616421397,Pana CUSD #8
271794,"Government - Local, State & Federal",https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/271794/original/hs-emp-logo-data.?1527684769,Franklin County PA
125973,"Government - Local, State & Federal",https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/125973/original/hs-emp-logo-data.?1582150118,City of Detroit - Human Resources Department
23248,Manufacturing,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/23248/original/hs-emp-logo-data.?1556655873,Nucor
42137,Accounting,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/42137/original/hs-emp-logo-data.?1491319438,Scheffel Boyle
310884,Healthcare,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/310884/original/hs-emp-logo-data.?1585150731,"Trinity Health - Minot, North Dakota"
10406,"Journalism, Media & Publishing",https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/10406/original/hs-emp-logo-data.?1627576805,"Lee Enterprises, Inc."
669661,Healthcare,https://handshake-production-cdn.joinhandshake.com/static_assets/default_institution_1.png,Carver Smiles PC
612896,Other Industries,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/612896/original/hs-emp-logo-data.?1623851482,Pinpoint Partners inc
149318,Veterinary,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/149318/original/hs-emp-logo-data.?1614293037,East Holland Veterinary Clinic
183595,Real Estate,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/183595/original/hs-emp-logo-data.?1548784862,Aeon
167251,Sports & Leisure,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/167251/original/hs-emp-logo-data.?1504209633,Big Bear Mountain Resort
34845,Healthcare,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/34845/original/hs-emp-logo-ThedaCare.jpg?1440080552,ThedaCare
95669,Healthcare,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/95669/original/hs-emp-logo-data.?1501624489,Sentara Healthcare
312511,Non-Profit - Other,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/312511/original/hs-emp-logo-data.?1531882742,Northern Virginia Family Service
39459,Human Resources,https://handshake-production-cdn.joinhandshake.com/static_assets/default_institution_1.png,"America Works of New York, Inc."
12414,Healthcare,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/12414/original/hs-emp-logo-data.?1616070477,Rotech Healthcare
10452,"Advertising, PR & Marketing",https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/10452/original/hs-emp-logo-data.?1602093348,Hubbard Radio St. Louis
154494,Healthcare,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/154494/original/hs-emp-logo-data.?1602170411,Heartland Health Services
166373,Healthcare,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/166373/original/hs-emp-logo-data.?1550692701,Northern Light Health
125160,Hotels & Accommodation,https://handshake-production-cdn.joinhandshake.com/static_assets/default_institution_1.png,Under Canvas
12249,Restaurants & Food Service,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/12249/original/hs-emp-logo-data.?1562013211,Compass Group USA
56687,Healthcare,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/56687/original/hs-emp-logo-data.?1618337850,Mather
507353,Non-Profit - Other,https://handshake-production-cdn.joinhandshake.com/static_assets/default_institution_1.png,Pioneer Center for Human Services
382745,Real Estate,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/382745/original/hs-emp-logo-data.?1547243872,Fairlawn Real Estate
611589,Retail Stores,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/611589/original/hs-emp-logo-data.?1614819347,5 Star Nutrition
437278,Animal & Wildlife,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/437278/original/hs-emp-logo-data.?1610575568,M3 Whitetails
251080,Manufacturing,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/251080/original/hs-emp-logo-data.?1518810756,Bimbo Bakeries USA
99951,Human Resources,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/99951/original/hs-emp-logo-data.?1512782305,Cooper Connect
24079,Healthcare,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/24079/original/hs-emp-logo-data.?1592488771,BJC HealthCare
154112,Manufacturing,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/154112/original/hs-emp-logo-data.?1620400537,"Bogen Communications, Inc."
11031,Non-Profit - Other,https://s3.amazonaws.com/handshake.production/app/public/assets/institutions/11031/original/hs-emp-logo-data.?1537819503,Adult and Child Health
